zona_id,zona_x,zona_y,area_ha,sin_cambio_px,sin_cambio_ha,sin_cambio_pct,urbanizacion_px,urbanizacion_ha,urbanizacion_pct,perdida_vegetacion_px,perdida_vegetacion_ha,perdida_vegetacion_pct,ganancia_vegetacion_px,ganancia_vegetacion_ha,ganancia_vegetacion_pct,nuevo_cuerpo_agua_px,nuevo_cuerpo_agua_ha,nuevo_cuerpo_agua_pct,perdida_agua_px,perdida_agua_ha,perdida_agua_pct,pixeles_validos,cambio_total_ha,cambio_total_pct,indice_transformacion
Z_02_00,2,0,1.963843042988554e-08,17104,171.04,70.2827087442472,1177,11.77,4.836456278763971,2965,29.650000000000002,12.183596318211702,3090,30.900000000000002,12.69723865877712,0,0.0,0.0,0,0.0,0.0,24336,72.32000000000001,368257535948.21027,10.52
Z_02_01,2,1,1.963843042988554e-08,21818,218.18,89.65318869165023,462,4.62,1.898422090729783,1659,16.59,6.817061143984221,397,3.97,1.631328073635766,0,0.0,0.0,0,0.0,0.0,24336,25.18,128217986105.86191,17.240000000000002
Z_02_02,2,2,1.963843042988554e-08,16316,163.16,67.04470742932281,1274,12.74,5.235042735042735,2456,24.560000000000002,10.092044707429324,4290,42.9,17.628205128205128,0,0.0,0.0,0,0.0,0.0,24336,80.2,408382942243.45215,-5.599999999999994
Z_02_03,2,3,1.963843042988554e-08,15536,155.36,63.83957922419461,612,6.12,2.514792899408284,3898,38.980000000000004,16.01742274819198,4290,42.9,17.628205128205128,0,0.0,0.0,0,0.0,0.0,24336,88.0,448100984007.7779,2.200000000000003
Z_02_04,2,4,1.963843042988554e-08,14229,142.29,58.468934911242606,2161,21.61,8.879848783694937,3456,34.56,14.201183431952662,4488,44.88,18.441814595660748,0,0.0,0.0,2,0.02,0.00821827744904668,24336,101.05000000000001,514552323113.47687,11.29
Z_02_05,2,5,1.963843042988554e-08,13109,131.09,53.86669953977646,1446,14.46,5.941814595660749,1373,13.73,5.641847468770545,8408,84.08,34.54963839579224,0,0.0,0.0,0,0.0,0.0,24336,112.27,571685198574.4685,-55.89
Z_02_06,2,6,1.963843042988554e-08,23806,238.06,97.82215647600263,70,0.7000000000000001,0.2876397107166338,167,1.67,0.6862261669953977,293,2.93,1.2039776462853387,0,0.0,0.0,0,0.0,0.0,24336,5.300000000000001,26987900173.19572,-0.56
Z_02_07,2,7,1.963843042988554e-08,19460,194.6,79.9638395792242,417,4.17,1.7135108481262327,1119,11.19,4.598126232741618,3338,33.38,13.71630506245891,0,0.0,0.0,2,0.02,0.00821827744904668,24336,48.74,248186840460.67154,-18.020000000000003
Z_02_08,2,8,1.963843042988554e-08,12672,126.72,52.071005917159766,6183,61.83,25.40680473372781,3057,30.57,12.56163708086785,2422,24.22,9.952333990795529,2,0.02,0.00821827744904668,0,0.0,0.0,24336,116.62,593835644943.0348,68.18
Z_02_09,2,9,1.963843042988554e-08,21286,212.86,87.46712689020382,2206,22.06,9.064760026298488,658,6.58,2.7038132807363575,186,1.86,0.7642998027613412,0,0.0,0.0,0,0.0,0.0,24336,30.5,155307727411.78665,26.78
Z_03_00,3,0,1.963843042988554e-08,12536,125.36,51.512163050624586,5359,53.59,22.020874424720578,2569,25.69,10.556377383300461,3872,38.72,15.910585141354373,0,0.0,0.0,0,0.0,0.0,24336,118.0,600862683101.3386,40.56
Z_03_01,3,1,1.963843042988554e-08,17468,174.68,71.7784352399737,1000,10.0,4.10913872452334,4286,42.86,17.611768573307035,1581,15.81,6.4965483234714005,1,0.01,0.00410913872452334,0,0.0,0.0,24336,68.67,349671529225.16034,37.05
Z_03_02,3,2,1.963843042988554e-08,15227,152.27,62.5698553583169,1620,16.2,6.65680473372781,2764,27.64,11.357659434582512,4725,47.25,19.41568047337278,0,0.0,0.0,0,0.0,0.0,24336,91.09,463835439014.4147,-3.4099999999999966
Z_03_03,3,3,1.963843042988554e-08,15786,157.86,64.86686390532545,1184,11.84,4.865220249835635,2265,22.650000000000002,9.307199211045365,5096,50.96,20.94017094017094,5,0.05,0.020545693622616698,0,0.0,0.0,24336,85.45,435116239584.82526,-16.47
Z_03_04,3,4,1.963843042988554e-08,16814,168.14000000000001,69.09105851413544,1945,19.45,7.992274819197896,2457,24.57,10.096153846153847,3116,31.16,12.804076265614727,0,0.0,0.0,4,0.04,0.01643655489809336,24336,75.17999999999999,382820817928.46295,12.859999999999996
Z_03_05,3,5,1.963843042988554e-08,16534,165.34,67.9404996712689,1025,10.25,4.211867192636423,2710,27.1,11.135765943458251,4064,40.64,16.699539776462853,0,0.0,0.0,3,0.03,0.01232741617357002,24336,77.99000000000001,397129497076.89325,-3.289999999999999
Z_03_06,3,6,1.963843042988554e-08,23428,234.28,96.26890203813281,28,0.28,0.11505588428665352,80,0.8,0.32873109796186717,800,8.0,3.287310979618672,0,0.0,0.0,0,0.0,0.0,24336,9.08,46235874258.98436,-6.92
Z_03_07,3,7,1.963843042988554e-08,19831,198.31,81.48833004602236,1161,11.61,4.770710059171598,1663,16.63,6.833497698882314,1681,16.81,6.907462195923735,0,0.0,0.0,0,0.0,0.0,24336,45.05,229397151472.16357,11.43
Z_03_08,3,8,1.963843042988554e-08,16880,168.8,69.36226166995398,1044,10.44,4.289940828402367,1973,19.73,8.10733070348455,4439,44.39,18.240466798159105,0,0.0,0.0,0,0.0,0.0,24336,74.56,379663742813.86273,-14.219999999999999
Z_03_09,3,9,1.963843042988554e-08,19883,198.83,81.70200525969757,2796,27.96,11.489151873767259,1205,12.05,4.951512163050625,452,4.5200000000000005,1.8573307034845496,0,0.0,0.0,0,0.0,0.0,24336,44.53000000000001,226749282021.2086,35.49
Z_04_00,4,0,1.963843042988554e-08,12392,123.92,50.92044707429323,3263,32.63,13.408119658119658,2896,28.96,11.900065746219592,5785,57.85,23.771367521367523,0,0.0,0.0,0,0.0,0.0,24336,119.44,608195244657.8295,3.740000000000002
Z_04_01,4,1,1.963843042988554e-08,14596,145.96,59.97698882314267,2361,23.61,9.701676528599606,2968,29.68,12.195923734385273,4411,44.11,18.125410913872454,0,0.0,0.0,0,0.0,0.0,24336,97.4,495966316390.42694,9.18
Z_04_02,4,2,1.963843042988554e-08,16241,162.41,66.73652202498356,2484,24.84,10.207100591715976,3324,33.24,13.658777120315582,2287,22.87,9.397600262984879,0,0.0,0.0,0,0.0,0.0,24336,80.95,412201984720.79114,35.209999999999994
Z_04_03,4,3,1.963843042988554e-08,12357,123.57000000000001,50.77662721893491,3431,34.31,14.098454963839579,4002,40.02,16.444773175542405,4546,45.46,18.680144641683103,0,0.0,0.0,0,0.0,0.0,24336,119.79000000000002,609977464480.5878,28.87000000000001
Z_04_04,4,4,1.963843042988554e-08,18594,185.94,76.40532544378698,1458,14.58,5.991124260355029,2413,24.13,9.915351742274819,1871,18.71,7.688198553583169,0,0.0,0.0,0,0.0,0.0,24336,57.42,292385892065.0751,20.0
Z_04_05,4,5,1.963843042988554e-08,21015,210.15,86.35355029585799,305,3.0500000000000003,1.2532873109796188,1473,14.73,6.05276134122288,1543,15.43,6.340401051939513,0,0.0,0.0,0,0.0,0.0,24336,33.21,169107200896.57166,2.3500000000000014
Z_04_06,4,6,1.963843042988554e-08,22399,223.99,92.0405982905983,117,1.17,0.4807692307692308,1036,10.36,4.25706771860618,784,7.84,3.2215647600262987,0,0.0,0.0,0,0.0,0.0,24336,19.369999999999997,98633137048.07565,3.6899999999999995
Z_04_07,4,7,1.963843042988554e-08,13155,131.55,54.05571992110453,2448,24.48,10.059171597633137,2883,28.830000000000002,11.846646942800788,5850,58.5,24.03846153846154,0,0.0,0.0,0,0.0,0.0,24336,111.81,569342852521.7006,-5.189999999999998
Z_04_08,4,8,1.963843042988554e-08,21452,214.52,88.14924391847468,143,1.43,0.5876068376068376,1136,11.36,4.667981591058514,1605,16.05,6.595167652859961,0,0.0,0.0,0,0.0,0.0,24336,28.84,146854913395.2763,-3.2600000000000016
Z_04_09,4,9,1.963843042988554e-08,24321,243.21,99.93836291913215,0,0.0,0.0,0,0.0,0.0,15,0.15,0.0616370808678501,0,0.0,0.0,0,0.0,0.0,24336,0.15,763808495.4678032,-0.15
Z_05_00,5,0,1.963843042988554e-08,15258,152.58,62.69723865877712,3800,38.0,15.614727153188692,3422,34.22,14.06147271531887,1856,18.56,7.626561472715319,0,0.0,0.0,0,0.0,0.0,24336,90.78,462256901457.11456,53.66
Z_05_01,5,1,1.963843042988554e-08,18630,186.3,76.55325443786982,825,8.25,3.3900394477317555,2037,20.37,8.370315581854044,2844,28.44,11.68639053254438,0,0.0,0.0,0,0.0,0.0,24336,57.06,290552751675.9524,0.17999999999999972
Z_05_02,5,2,1.963843042988554e-08,17589,175.89000000000001,72.27564102564102,1772,17.72,7.281393819855358,2407,24.07,9.89069690992768,2568,25.68,10.552268244575936,0,0.0,0.0,0,0.0,0.0,24336,67.47,343561061261.4179,16.11
Z_05_03,5,3,1.963843042988554e-08,17691,176.91,72.69477317554241,1439,14.39,5.913050624589086,2234,22.34,9.179815910585141,2971,29.71,12.208251150558842,0,0.0,0.0,1,0.01,0.00410913872452334,24336,66.44,338316242925.8723,7.020000000000003
Z_05_04,5,4,1.963843042988554e-08,18933,189.33,77.7983234714004,1621,16.21,6.660913872452334,2480,24.8,10.190664036817884,1302,13.02,5.350098619329389,0,0.0,0.0,0,0.0,0.0,24336,54.03,275123820067.50275,27.990000000000006
Z_05_05,5,5,1.963843042988554e-08,21685,216.85,89.10667324128863,477,4.7700000000000005,1.9600591715976332,1620,16.2,6.65680473372781,554,5.54,2.2764628533859304,0,0.0,0.0,0,0.0,0.0,24336,26.509999999999998,134990421432.3431,15.43
Z_05_06,5,6,1.963843042988554e-08,16112,161.12,66.20644312952005,1014,10.14,4.166666666666667,2624,26.240000000000002,10.782380013149243,4586,45.86,18.844510190664035,0,0.0,0.0,0,0.0,0.0,24336,82.24000000000001,418770737781.8143,-9.479999999999997
Z_05_07,5,7,1.963843042988554e-08,21483,214.83,88.2766272189349,86,0.86,0.3533859303090072,2026,20.26,8.325115055884286,737,7.37,3.0284352399737013,4,0.04,0.01643655489809336,0,0.0,0.0,24336,28.490000000000002,145072693572.5181,13.75
Z_05_08,5,8,1.963843042988554e-08,21315,213.15,87.58629191321499,37,0.37,0.15203813280736359,150,1.5,0.616370808678501,2834,28.34,11.645299145299145,0,0.0,0.0,0,0.0,0.0,24336,30.21,153831030987.21558,-26.47
Z_05_09,5,9,1.963843042988554e-08,23572,235.72,96.86061801446417,155,1.55,0.6369165023011177,183,1.83,0.7519723865877712,426,4.26,1.7504930966469427,0,0.0,0.0,0,0.0,0.0,24336,7.64,38903312702.49345,-0.8799999999999999
Z_06_00,6,0,1.963843042988554e-08,15532,155.32,63.823142669296516,2419,24.19,9.94000657462196,2335,23.35,9.594838921762,4050,40.5,16.642011834319526,0,0.0,0.0,0,0.0,0.0,24336,88.04,448304666273.236,7.040000000000006
Z_06_01,6,1,1.963843042988554e-08,11354,113.54,46.655161078238,6017,60.17,24.724687705456937,4455,44.550000000000004,18.306213017751478,2510,25.1,10.313938198553583,0,0.0,0.0,0,0.0,0.0,24336,129.82,661050792544.2014,79.62
